Title,Published Date,Source,URL
"JPMorgan Chase & Co. Raises Stock Holdings in UFP Technologies, Inc. (NASDAQ:UFPT)",2025-04-23T07:09:14Z,ETF Daily News,https://www.etfdailynews.com/2025/04/23/jpmorgan-chase-co-raises-stock-holdings-in-ufp-technologies-inc-nasdaqufpt/
"JPMorgan Chase & Co. Boosts Position in Transcat, Inc. (NASDAQ:TRNS)",2025-04-23T07:09:12Z,ETF Daily News,https://www.etfdailynews.com/2025/04/23/jpmorgan-chase-co-boosts-position-in-transcat-inc-nasdaqtrns/
JPMorgan Chase & Co. Has $2.57 Million Stock Holdings in Invesco FTSE RAFI US 1500 Small-Mid ETF (NASDAQ:PRFZ),2025-04-23T07:09:05Z,ETF Daily News,https://www.etfdailynews.com/2025/04/23/jpmorgan-chase-co-has-2-57-million-stock-holdings-in-invesco-ftse-rafi-us-1500-small-mid-etf-nasdaqprfz/
"JPMorgan Chase & Co. Boosts Stock Holdings in SelectQuote, Inc. (NYSE:SLQT)",2025-04-23T07:08:55Z,ETF Daily News,https://www.etfdailynews.com/2025/04/23/jpmorgan-chase-co-boosts-stock-holdings-in-selectquote-inc-nyseslqt/
"JPMorgan Chase & Co. Raises Stake in Weave Communications, Inc. (NYSE:WEAV)",2025-04-23T07:08:55Z,ETF Daily News,https://www.etfdailynews.com/2025/04/23/jpmorgan-chase-co-raises-stake-in-weave-communications-inc-nyseweav/
Truist Financial Has Lowered Expectations for Wingstop (NASDAQ:WING) Stock Price,2025-04-23T07:00:57Z,ETF Daily News,https://www.etfdailynews.com/2025/04/23/truist-financial-has-lowered-expectations-for-wingstop-nasdaqwing-stock-price/
Huntington Bancshares (NASDAQ:HBAN) Receives “Equal Weight” Rating from Stephens,2025-04-23T06:58:43Z,ETF Daily News,https://www.etfdailynews.com/2025/04/23/huntington-bancshares-nasdaqhban-receives-equal-weight-rating-from-stephens/
Barclays Issues Pessimistic Forecast for BJ’s Restaurants (NASDAQ:BJRI) Stock Price,2025-04-23T06:54:50Z,ETF Daily News,https://www.etfdailynews.com/2025/04/23/barclays-issues-pessimistic-forecast-for-bjs-restaurants-nasdaqbjri-stock-price/
Oshkosh (OSK) to Release Earnings on Wednesday,2025-04-23T06:52:54Z,ETF Daily News,https://www.etfdailynews.com/2025/04/23/oshkosh-osk-to-release-earnings-on-wednesday/
ACNB (ACNB) Expected to Announce Quarterly Earnings on Thursday,2025-04-23T06:52:53Z,ETF Daily News,https://www.etfdailynews.com/2025/04/23/acnb-acnb-expected-to-announce-quarterly-earnings-on-thursday/
